team_a_name,team_b_name,team_a_wins,team_a_losses,team_b_wins,team_b_losses
team_12,zzzzzzzzzu,3,0,0,3
team_13,team_4,1,2,2,1
team_13,team_5,2,1,1,2
team_13,team_6,2,1,1,2
team_13,team_7,2,1,1,2
team_13,team_8,2,1,1,2
team_13,team_9,2,1,1,2
team_13,trick_room,3,0,0,3
team_13,zzzzzzzzzu,3,0,0,3
team_14,team_15,0,3,3,0
team_14,team_4,1,2,2,1
team_14,team_5,2,1,1,2
team_14,team_6,2,1,1,2
team_14,team_7,0,3,3,0
team_14,team_8,0,3,3,0
team_14,team_9,1,2,2,1
team_14,trick_room,3,0,0,3
team_14,zzzzzzzzzu,3,0,0,3
team_15,team_4,1,2,2,1
team_15,team_5,2,1,1,2
team_15,team_6,2,1,1,2
team_15,team_7,1,2,2,1
team_15,team_8,2,1,1,2
team_15,team_9,3,0,0,3
team_15,trick_room,3,0,0,3
team_15,zzzzzzzzzu,3,0,0,3
team_2,team_4,0,3,3,0
team_2,team_5,1,2,2,1
team_2,team_6,1,2,2,1
team_2,team_7,1,2,2,1
team_2,team_8,2,1,1,2
team_2,team_9,1,2,2,1
team_2,trick_room,2,1,1,2
team_2,zzzzzzzzzu,3,0,0,3
team_3,team_4,1,2,2,1
team_3,team_5,2,1,1,2
team_3,team_6,1,2,2,1
team_3,team_7,0,3,3,0
team_3,team_8,0,3,3,0
team_3,team_9,1,2,2,1
team_3,trick_room,3,0,0,3
team_3,zzzzzzzzzu,3,0,0,3
team_4,team_5,2,1,1,2
team_4,team_6,1,2,2,1
team_4,team_7,0,3,3,0
team_4,team_8,2,1,1,2
team_4,team_9,1,2,2,1
team_4,trick_room,3,0,0,3
team_4,zzzzzzzzzu,3,0,0,3
team_5,team_6,1,2,2,1
team_5,team_7,1,2,2,1
team_5,team_8,1,2,2,1
team_5,team_9,2,1,1,2
team_5,trick_room,2,1,1,2
team_5,zzzzzzzzzu,2,1,1,2
team_6,team_7,2,1,1,2
team_6,team_8,3,0,0,3
team_6,team_9,0,3,3,0
team_6,trick_room,2,1,1,2
team_6,zzzzzzzzzu,3,0,0,3
team_7,team_8,3,0,0,3
team_7,team_9,2,1,1,2
team_7,trick_room,3,0,0,3
team_7,zzzzzzzzzu,3,0,0,3
team_8,team_9,1,2,2,1
team_8,trick_room,3,0,0,3
team_8,zzzzzzzzzu,3,0,0,3
team_9,trick_room,3,0,0,3
team_9,zzzzzzzzzu,3,0,0,3
trick_room,zzzzzzzzzu,3,0,0,3
iron_crown_specs,sand,2,4,4,2
iron_crown_specs,scarf_latios,5,1,1,5
iron_crown_specs,team_0,3,3,3,3
iron_crown_specs,team_10,2,4,4,2
iron_crown_specs,team_13,5,1,1,5
iron_crown_specs,team_14,4,2,2,4
iron_crown_specs,team_15,2,4,4,2
iron_crown_specs,team_3,3,3,3,3
iron_crown_specs,team_4,4,2,2,4
iron_crown_specs,team_5,4,2,2,4
iron_crown_specs,team_6,4,2,2,4
iron_crown_specs,team_7,3,3,3,3
iron_crown_specs,team_9,5,1,1,5
manaphy,sand,4,2,2,4
manaphy,scarf_latios,4,2,2,4
manaphy,team_0,2,4,4,2
manaphy,team_10,3,3,3,3
manaphy,team_13,5,1,1,5
manaphy,team_14,1,5,5,1
manaphy,team_15,1,5,5,1
manaphy,team_3,5,1,1,5
manaphy,team_4,0,6,6,0
manaphy,team_5,2,4,4,2
manaphy,team_6,4,2,2,4
manaphy,team_7,5,1,1,5
manaphy,team_9,6,0,0,6
mexican_webs,sand,2,4,4,2
mexican_webs,scarf_latios,6,0,0,6
mexican_webs,team_0,1,5,5,1
mexican_webs,team_10,5,1,1,5
mexican_webs,team_13,5,1,1,5
mexican_webs,team_14,4,2,2,4
mexican_webs,team_15,5,1,1,5
mexican_webs,team_3,3,3,3,3
mexican_webs,team_4,4,2,2,4
mexican_webs,team_5,2,4,4,2
mexican_webs,team_6,4,2,2,4
mexican_webs,team_7,2,4,4,2
mexican_webs,team_9,4,2,2,4
sand,scarf_latios,3,3,3,3
sand,team_0,3,3,3,3
sand,team_10,5,1,1,5
sand,team_13,2,4,4,2
sand,team_14,4,2,2,4
sand,team_15,4,2,2,4
sand,team_3,3,3,3,3
sand,team_4,2,4,4,2
sand,team_5,6,0,0,6
sand,team_6,3,3,3,3
sand,team_7,5,1,1,5
sand,team_9,1,5,5,1
scarf_latios,team_0,5,1,1,5
scarf_latios,team_10,6,0,0,6
scarf_latios,team_13,2,4,4,2
scarf_latios,team_14,3,3,3,3
scarf_latios,team_15,4,2,2,4
scarf_latios,team_3,2,4,4,2
scarf_latios,team_4,2,4,4,2
scarf_latios,team_5,1,5,5,1
scarf_latios,team_6,3,3,3,3
scarf_latios,team_7,3,3,3,3
scarf_latios,team_9,5,1,1,5
team_0,team_10,1,5,5,1
team_0,team_13,3,3,3,3
team_0,team_14,4,2,2,4
team_0,team_15,5,1,1,5
team_0,team_3,5,1,1,5
team_0,team_4,4,2,2,4
team_0,team_5,5,1,1,5
team_0,team_6,4,2,2,4
team_0,team_7,2,4,4,2
team_0,team_9,5,1,1,5
team_10,team_13,4,2,2,4
team_10,team_14,3,3,3,3
team_10,team_15,1,5,5,1
team_10,team_3,3,3,3,3
team_10,team_4,2,4,4,2
team_10,team_5,4,2,2,4
team_10,team_6,5,1,1,5
team_10,team_7,1,5,5,1
team_10,team_9,3,3,3,3
team_13,team_14,0,6,6,0
team_13,team_15,4,2,2,4
team_13,team_3,1,5,5,1
team_13,team_4,3,3,3,3
team_13,team_5,3,3,3,3
team_13,team_6,2,4,4,2
team_13,team_7,3,3,3,3
team_13,team_9,2,4,4,2
team_14,team_15,2,4,4,2
team_14,team_3,3,3,3,3
team_14,team_4,5,1,1,5
team_14,team_5,3,3,3,3
team_14,team_6,3,3,3,3
team_14,team_7,3,3,3,3
team_14,team_9,2,4,4,2
team_15,team_3,6,0,0,6
team_15,team_4,1,5,5,1
team_15,team_5,5,1,1,5
team_15,team_6,1,5,5,1
team_15,team_7,5,1,1,5
team_15,team_9,3,3,3,3
team_3,team_4,3,3,3,3
team_3,team_5,4,2,2,4
team_3,team_6,2,4,4,2
team_3,team_7,2,4,4,2
team_3,team_9,5,1,1,5
team_4,team_5,2,4,4,2
team_4,team_6,1,5,5,1
team_4,team_7,3,3,3,3
team_4,team_9,1,5,5,1
team_5,team_6,3,3,3,3
team_5,team_7,5,1,1,5
team_5,team_9,3,3,3,3
team_6,team_7,2,4,4,2
team_6,team_9,3,3,3,3
team_7,team_9,5,1,1,5
iron_crown_specs,manaphy,0,1,1,0
iron_crown_specs,mexican_webs,2,2,2,2
iron_crown_specs,sand,0,1,1,0
iron_crown_specs,scarf_latios,1,0,0,1
iron_crown_specs,team_0,1,0,0,1
iron_crown_specs,team_10,1,0,0,1
iron_crown_specs,team_13,0,1,1,0
iron_crown_specs,team_14,0,1,1,0
iron_crown_specs,team_15,0,1,1,0
iron_crown_specs,team_3,0,1,1,0
iron_crown_specs,team_4,1,0,0,1
iron_crown_specs,team_5,0,1,1,0
iron_crown_specs,team_6,1,0,0,1
iron_crown_specs,team_7,0,1,1,0
iron_crown_specs,team_9,0,1,1,0
manaphy,mexican_webs,2,2,2,2
manaphy,sand,0,1,1,0
manaphy,scarf_latios,1,0,0,1
manaphy,team_0,1,0,0,1
manaphy,team_10,0,1,1,0
manaphy,team_13,1,0,0,1
manaphy,team_14,0,1,1,0
manaphy,team_15,0,1,1,0
manaphy,team_3,0,1,1,0
manaphy,team_4,0,1,1,0
manaphy,team_5,0,1,1,0
manaphy,team_6,1,0,0,1
manaphy,team_7,1,0,0,1
manaphy,team_9,1,0,0,1
mexican_webs,sand,0,1,1,0
mexican_webs,scarf_latios,0,1,1,0
mexican_webs,team_0,0,1,1,0
mexican_webs,team_10,1,0,0,1
mexican_webs,team_13,1,0,0,1
mexican_webs,team_14,1,0,0,1
mexican_webs,team_15,0,1,1,0
mexican_webs,team_3,1,0,0,1
mexican_webs,team_4,1,0,0,1
mexican_webs,team_5,0,1,1,0
mexican_webs,team_6,0,1,1,0
mexican_webs,team_7,0,1,1,0
mexican_webs,team_9,1,0,0,1
sand,scarf_latios,0,1,1,0
sand,team_0,1,0,0,1
sand,team_10,1,0,0,1
sand,team_13,1,0,0,1
sand,team_14,1,0,0,1
sand,team_15,1,0,0,1
sand,team_3,1,0,0,1
sand,team_4,0,1,1,0
sand,team_5,1,0,0,1
sand,team_6,1,0,0,1
sand,team_7,1,0,0,1
sand,team_9,1,0,0,1
scarf_latios,team_0,0,1,1,0
scarf_latios,team_10,1,0,0,1
scarf_latios,team_13,0,1,1,0
scarf_latios,team_14,0,1,1,0
scarf_latios,team_15,1,0,0,1
scarf_latios,team_3,0,1,1,0
scarf_latios,team_4,1,0,0,1
scarf_latios,team_5,1,0,0,1
scarf_latios,team_6,1,0,0,1
scarf_latios,team_7,0,1,1,0
scarf_latios,team_9,1,0,0,1
team_0,team_10,1,0,0,1
team_0,team_13,0,1,1,0
team_0,team_14,1,0,0,1
team_0,team_15,1,0,0,1
team_0,team_3,1,0,0,1
team_0,team_4,0,1,1,0
team_0,team_5,0,1,1,0
team_0,team_6,1,0,0,1
team_0,team_7,1,0,0,1
team_0,team_9,1,0,0,1
team_10,team_13,1,0,0,1
team_10,team_14,1,0,0,1
team_10,team_15,1,0,0,1
team_10,team_3,1,0,0,1
team_10,team_4,1,0,0,1
team_10,team_5,1,0,0,1
team_10,team_6,1,0,0,1
team_10,team_7,0,1,1,0
team_10,team_9,1,0,0,1
team_13,team_14,0,1,1,0
team_13,team_15,0,1,1,0
team_13,team_3,0,1,1,0
team_13,team_4,1,0,0,1
team_13,team_5,1,0,0,1
team_13,team_6,0,1,1,0
team_13,team_7,0,1,1,0
team_13,team_9,1,0,0,1
team_14,team_3,1,0,0,1
team_14,team_4,0,1,1,0
team_14,team_5,0,1,1,0
team_14,team_6,1,0,0,1
team_14,team_7,1,0,0,1
team_14,team_9,0,1,1,0
team_15,team_3,1,0,0,1
team_15,team_4,0,1,1,0
